HourRange,TotalPassengerCount,AverageWait
0700 - 0800,1441,16
0800 - 0900,1512,26
0900 - 1000,1856,43
1000 - 1100,1137,23
1100 - 1200,1761,23
1200 - 1300,2572,27
1300 - 1400,2005,51
1400 - 1500,1433,33
1500 - 1600,1336,25
1600 - 1700,1594,14
1700 - 1800,1158,16
1800 - 1900,1316,17
1900 - 2000,2235,21
2000 - 2100,991,18
2100 - 2200,1054,18
2200 - 2300,1577,15
2300 - 0000,559,20
0500 - 0600,598,43
0600 - 0700,2387,30
0700 - 0800,1580,32
0800 - 0900,915,66
0900 - 1000,2135,73
1000 - 1100,1456,43
1100 - 1200,1780,49
1200 - 1300,2238,35
1300 - 1400,2005,44
1400 - 1500,1414,44
1500 - 1600,2441,40
1600 - 1700,1204,30
1700 - 1800,1591,21
1800 - 1900,1458,32
1900 - 2000,2306,37
2000 - 2100,807,28
2100 - 2200,781,18
2200 - 2300,1611,22
2300 - 0000,366,18
0000 - 0100,189,11
0500 - 0600,1716,47
0600 - 0700,2385,50
0700 - 0800,1617,56
0800 - 0900,1472,61
0900 - 1000,1029,52
1000 - 1100,1480,40
1100 - 1200,2091,43
1200 - 1300,1908,56
1300 - 1400,2723,47
1400 - 1500,688,45
1500 - 1600,2198,42
1600 - 1700,646,14
1700 - 1800,1297,15
1800 - 1900,2063,23
1900 - 2000,1883,40
2000 - 2100,1689,26
2100 - 2200,845,23
2200 - 2300,1899,22
2300 - 0000,173,18
0500 - 0600,1523,47
0600 - 0700,2658,51
0700 - 0800,1392,61
0800 - 0900,1597,74
0900 - 1000,1245,53
1000 - 1100,1180,44
1100 - 1200,1727,40
1200 - 1300,1438,33
1300 - 1400,1852,51
1400 - 1500,2039,43
1500 - 1600,1487,45
1600 - 1700,1832,33
1700 - 1800,1123,28
1800 - 1900,2329,34
1900 - 2000,1486,44
2000 - 2100,1094,41
2100 - 2200,1399,30
2200 - 2300,1487,27
2300 - 0000,153,13
0500 - 0600,1752,44
0600 - 0700,2550,46
0700 - 0800,999,32
0800 - 0900,1338,45
0900 - 1000,2128,44
1000 - 1100,2054,43
1100 - 1200,1586,41
1200 - 1300,1973,35
1300 - 1400,2352,40
1400 - 1500,1889,33
1500 - 1600,1345,20
1600 - 1700,1710,15
1700 - 1800,1587,14
1800 - 1900,2023,19
1900 - 2000,1995,21
2000 - 2100,805,17
2100 - 2200,1957,20
2200 - 2300,916,22
2300 - 0000,553,14
0500 - 0600,1281,41
0600 - 0700,2188,50
0700 - 0800,1546,73
0800 - 0900,970,82
0900 - 1000,1748,78
1000 - 1100,2088,65
1100 - 1200,2115,62
1200 - 1300,1432,64
1300 - 1400,2722,65
1400 - 1500,574,47
1500 - 1600,2039,40
1600 - 1700,1433,21
1700 - 1800,656,13
1800 - 1900,1420,12
1900 - 2000,2203,21
2000 - 2100,592,17
2100 - 2200,897,13
2200 - 2300,1400,16
2300 - 0000,201,27
0500 - 0600,1653,55
0600 - 0700,1668,56
0700 - 0800,1289,41
0800 - 0900,1263,46
0900 - 1000,1595,54
1000 - 1100,1017,34
1100 - 1200,1710,35
1200 - 1300,1481,25
1300 - 1400,1304,32
1400 - 1500,1067,17
1500 - 1600,2033,19
1600 - 1700,1008,14
1700 - 1800,493,10
1800 - 1900,613,11
1900 - 2000,1827,26
2000 - 2100,1647,24
2100 - 2200,788,22
2200 - 2300,1023,18
2300 - 0000,178,13
0500 - 0600,1466,49
0600 - 0700,1371,55
0700 - 0800,1325,63
0800 - 0900,1423,70
0900 - 1000,1656,77
1000 - 1100,1323,54
1100 - 1200,1382,59
1200 - 1300,1378,56
1300 - 1400,2182,55
1400 - 1500,1044,44
1500 - 1600,1151,31
1600 - 1700,1300,25
1700 - 1800,618,10
1800 - 1900,1739,17
1900 - 2000,1859,24
2000 - 2100,582,24
2100 - 2200,889,20
2200 - 2300,1836,35
2300 - 0000,311,27
0500 - 0600,1048,34
0600 - 0700,1624,38
0700 - 0800,1391,34
0800 - 0900,1279,25
0900 - 1000,1909,70
1000 - 1100,1322,26
1100 - 1200,1363,29
1200 - 1300,678,31
1300 - 1400,2251,28
1400 - 1500,1617,30
1500 - 1600,1878,27
1600 - 1700,375,13
1700 - 1800,1525,11
1800 - 1900,1513,19
1900 - 2000,1917,23
2000 - 2100,947,27
2100 - 2200,618,17
2200 - 2300,808,19
2300 - 0000,497,23
0500 - 0600,1583,32
0600 - 0700,2308,42
0700 - 0800,374,38
0800 - 0900,557,29
0900 - 1000,1685,39
1000 - 1100,2234,66
1100 - 1200,1526,74
1200 - 1300,1510,61
1300 - 1400,1766,52
1400 - 1500,1383,46
1500 - 1600,1845,36
1600 - 1700,859,22
1700 - 1800,1089,11
1800 - 1900,2210,19
1900 - 2000,2098,45
2000 - 2100,1237,34
2100 - 2200,1304,35
2200 - 2300,819,34
2300 - 0000,511,25
0500 - 0600,1298,29
0600 - 0700,2029,43
0700 - 0800,1513,51
0800 - 0900,710,41
0900 - 1000,1381,51
1000 - 1100,1519,37
1100 - 1200,1539,35
1200 - 1300,1787,31
1300 - 1400,2513,39
1400 - 1500,700,32
1500 - 1600,2691,35
1600 - 1700,901,26
1700 - 1800,1186,14
1800 - 1900,840,11
1900 - 2000,1993,24
2000 - 2100,1255,25
2100 - 2200,791,23
2200 - 2300,1321,31
2300 - 0000,181,24
0500 - 0600,1557,51
0600 - 0700,1784,43
0700 - 0800,1352,35
0800 - 0900,468,23
0900 - 1000,1661,30
1000 - 1100,1636,34
1100 - 1200,2106,43
1200 - 1300,2064,39
1300 - 1400,2278,45
1400 - 1500,1599,47
1500 - 1600,2226,33
1600 - 1700,1147,19
1700 - 1800,2052,11
1800 - 1900,772,18
1900 - 2000,2593,28
2000 - 2100,765,43
2100 - 2200,1432,16
2200 - 2300,1623,18
2300 - 0000,481,16
0500 - 0600,894,40
0600 - 0700,2972,43
0700 - 0800,706,62
0800 - 0900,1563,57
0900 - 1000,2192,67
1000 - 1100,1073,58
1100 - 1200,1680,48
1200 - 1300,2333,49
1300 - 1400,2318,45
1400 - 1500,1468,35
1500 - 1600,2022,22
1600 - 1700,796,16
1700 - 1800,635,8
1800 - 1900,1590,17
1900 - 2000,2345,28
2000 - 2100,180,17
2100 - 2200,956,16
2200 - 2300,1949,18
2300 - 0000,407,23
0500 - 0600,843,33
0600 - 0700,2367,39
0700 - 0800,857,43
0800 - 0900,1589,43
0900 - 1000,1294,46
1000 - 1100,908,40
1100 - 1200,1899,34
1200 - 1300,648,31
1300 - 1400,2263,30
1400 - 1500,1290,32
1500 - 1600,1671,21
1600 - 1700,1251,14
1700 - 1800,592,12
1800 - 1900,1439,15
1900 - 2000,1336,22
2000 - 2100,1633,23
2100 - 2200,1232,16
2200 - 2300,1220,16
0500 - 0600,1072,40
0600 - 0700,1955,40
0700 - 0800,1059,38
0800 - 0900,629,37
0900 - 1000,2211,59
1000 - 1100,1111,56
1100 - 1200,2300,48
1200 - 1300,1710,43
1300 - 1400,1011,40
1400 - 1500,1681,26
1500 - 1600,982,15
1600 - 1700,1490,18
1700 - 1800,835,17
1800 - 1900,999,12
1900 - 2000,1221,25
2000 - 2100,1930,41
2100 - 2200,858,34
2200 - 2300,1536,36
2300 - 0000,174,32
0500 - 0600,881,41
0600 - 0700,1326,42
0700 - 0800,587,26
0800 - 0900,1363,30
0900 - 1000,1778,59
1000 - 1100,886,53
1100 - 1200,2189,51
1200 - 1300,1297,58
1300 - 1400,1782,53
1400 - 1500,579,47
1500 - 1600,2030,36
1600 - 1700,1230,18
1700 - 1800,979,12
1800 - 1900,1126,14
1900 - 2000,1352,28
2000 - 2100,1067,30
2100 - 2200,809,21
2200 - 2300,1135,22
2300 - 0000,319,31
0500 - 0600,1243,45
0600 - 0700,1887,41
0700 - 0800,541,30
0800 - 0900,1331,33
0900 - 1000,1621,37
1000 - 1100,1675,37
1100 - 1200,2433,47
1200 - 1300,981,37
1300 - 1400,2187,50
1400 - 1500,897,31
1500 - 1600,1649,16
1600 - 1700,871,11
1700 - 1800,969,12
1800 - 1900,1109,9
1900 - 2000,1343,23
2000 - 2100,1913,27
2100 - 2200,605,24
2200 - 2300,1671,37
2300 - 0000,348,31
0500 - 0600,850,25
0600 - 0700,1551,23
0700 - 0800,1664,37
0800 - 0900,693,32
0900 - 1000,1734,43
1000 - 1100,1538,31
1100 - 1200,1122,21
1200 - 1300,2454,25
1300 - 1400,1659,28
1400 - 1500,1696,30
1500 - 1600,1952,23
1600 - 1700,544,9
1700 - 1800,544,6
1800 - 1900,2104,12
1900 - 2000,1008,15
2000 - 2100,1382,28
2100 - 2200,1184,17
2200 - 2300,1136,18
2300 - 0000,175,15
0500 - 0600,1258,39
0600 - 0700,1575,29
0700 - 0800,642,10
0800 - 0900,1429,18
0900 - 1000,2123,43
1000 - 1100,1887,46
1100 - 1200,1276,35
1200 - 1300,2072,26
1300 - 1400,2310,33
1400 - 1500,1163,29
1500 - 1600,1789,20
1600 - 1700,1362,20
1700 - 1800,901,10
1800 - 1900,1568,13
1900 - 2000,1726,22
2000 - 2100,1571,25
2100 - 2200,1039,17
2200 - 2300,1230,18
2300 - 0000,847,14
0000 - 0100,184,8
0500 - 0600,1314,12
0600 - 0700,1478,22
0700 - 0800,726,15
0800 - 0900,975,14
0900 - 1000,1140,15
1000 - 1100,2283,35
1100 - 1200,1191,38
1200 - 1300,1864,24
1300 - 1400,2135,35
1400 - 1500,884,19
1500 - 1600,2099,14
1600 - 1700,1016,20
1700 - 1800,587,11
1800 - 1900,1318,13
1900 - 2000,1553,16
2000 - 2100,641,17
2100 - 2200,1569,16
2200 - 2300,1328,18
2300 - 0000,176,21
0500 - 0600,1478,24
0600 - 0700,1211,36
0700 - 0800,1193,24
0800 - 0900,640,22
0900 - 1000,1176,35
1000 - 1100,1225,23
1100 - 1200,1817,24
1200 - 1300,453,11
1300 - 1400,2566,26
1400 - 1500,608,12
1500 - 1600,1628,14
1600 - 1700,620,12
1700 - 1800,281,4
1800 - 1900,1236,11
1900 - 2000,1809,30
2000 - 2100,879,13
2100 - 2200,914,19
2200 - 2300,699,15
0500 - 0600,1678,27
0600 - 0700,727,24
0700 - 0800,803,12
0800 - 0900,1937,45
0900 - 1000,603,43
1000 - 1100,1208,28
1100 - 1200,1687,31
1200 - 1300,786,15
1300 - 1400,1629,27
1400 - 1500,688,18
1500 - 1600,1505,12
1600 - 1700,1255,13
1700 - 1800,231,10
1800 - 1900,1356,21
1900 - 2000,1165,19
2000 - 2100,815,23
2100 - 2200,803,17
2200 - 2300,640,18
2300 - 0000,373,19
0500 - 0600,1595,31
0600 - 0700,833,40
0700 - 0800,666,30
0800 - 0900,1257,33
0900 - 1000,973,40
1000 - 1100,1186,19
1100 - 1200,1316,18
1200 - 1300,1564,19
1300 - 1400,2069,31
1400 - 1500,1096,24
1500 - 1600,1358,23
1600 - 1700,808,12
1700 - 1800,764,15
1800 - 1900,1616,17
1900 - 2000,816,11
2000 - 2100,659,15
2100 - 2200,712,17
2200 - 2300,1258,20
0500 - 0600,1313,35
0600 - 0700,1862,46
0700 - 0800,827,48
0800 - 0900,1059,55
0900 - 1000,2095,68
1000 - 1100,647,56
1100 - 1200,1279,43
1200 - 1300,2324,40
1300 - 1400,1901,51
1400 - 1500,714,39
1500 - 1600,1312,27
1600 - 1700,1000,9
1700 - 1800,500,17
1800 - 1900,1671,25
1900 - 2000,1593,47
2000 - 2100,1069,36
2100 - 2200,1316,32
2200 - 2300,1114,49
2300 - 0000,171,39
0500 - 0600,1093,23
0600 - 0700,1826,41
0700 - 0800,1692,75
0800 - 0900,1495,90
0900 - 1000,1062,76
1000 - 1100,925,39
1100 - 1200,1507,38
1200 - 1300,498,17
1300 - 1400,3453,46
1400 - 1500,751,43
1500 - 1600,769,39
1600 - 1700,509,15
1700 - 1800,1126,13
1800 - 1900,1707,16
1900 - 2000,984,12
2000 - 2100,1357,18
2100 - 2200,366,19
2200 - 2300,1191,17
2300 - 0000,353,10
0500 - 0600,1296,18
0600 - 0700,1811,24
0700 - 0800,608,9
0800 - 0900,1896,28
0900 - 1000,831,38
1000 - 1100,2017,36
1100 - 1200,903,35
1200 - 1300,1734,23
1300 - 1400,2182,32
1400 - 1500,1576,31
1500 - 1600,1365,16
1600 - 1700,871,10
1700 - 1800,1312,10
1800 - 1900,1547,13
1900 - 2000,1621,20
2000 - 2100,650,18
2100 - 2200,1691,16
2200 - 2300,955,12
2300 - 0000,320,14
0500 - 0600,511,21
0600 - 0700,2249,21
0700 - 0800,547,19
0800 - 0900,1285,27
0900 - 1000,1382,41
1000 - 1100,1671,37
1100 - 1200,1689,32
1200 - 1300,1558,31
1300 - 1400,2106,28
1400 - 1500,615,16
1500 - 1600,1253,10
1600 - 1700,1146,8
1700 - 1800,441,11
1800 - 1900,1854,19
1900 - 2000,1348,19
2000 - 2100,1300,20
2100 - 2200,876,14
2200 - 2300,912,12
2300 - 0000,168,12
0500 - 0600,800,27
0600 - 0700,1579,24
0700 - 0800,1054,33
0800 - 0900,1175,27
0900 - 1000,709,16
1000 - 1100,965,13
1100 - 1200,1518,13
1200 - 1300,1180,17
1300 - 1400,1462,15
1400 - 1500,929,16
1500 - 1600,795,12
1600 - 1700,895,8
1700 - 1800,516,7
1800 - 1900,1869,22
1900 - 2000,920,24
2000 - 2100,357,14
2100 - 2200,1067,15
2200 - 2300,663,13
0500 - 0600,1140,27
0600 - 0700,1552,32
0700 - 0800,720,29
0800 - 0900,1653,32
0900 - 1000,1008,28
1000 - 1100,1043,13
1100 - 1200,1002,14
1200 - 1300,1631,13
1300 - 1400,1484,18
1400 - 1500,696,14
1500 - 1600,496,9
1600 - 1700,1240,11
1700 - 1800,502,12
1800 - 1900,1278,20
1900 - 2000,1063,19
2000 - 2100,637,11
2100 - 2200,1063,14
2200 - 2300,870,24
2300 - 0000,153,15
0500 - 0600,455,31
0600 - 0700,1863,40
0700 - 0800,753,56
0800 - 0900,1503,58
0900 - 1000,898,45
1000 - 1100,1237,37
1100 - 1200,1188,34
1200 - 1300,709,16
1300 - 1400,2038,20
1400 - 1500,1171,19
1500 - 1600,961,14
1600 - 1700,651,12
1700 - 1800,1065,14
1800 - 1900,963,18
1900 - 2000,1304,22
2000 - 2100,529,15
2100 - 2200,481,14
2200 - 2300,796,16
2300 - 0000,162,17
0500 - 0600,1442,29
0600 - 0700,1795,54
0700 - 0800,796,58
0800 - 0900,1072,72
0900 - 1000,1509,54
1000 - 1100,868,36
1100 - 1200,1466,27
1200 - 1300,348,22
1300 - 1400,2652,27
1400 - 1500,711,17
1500 - 1600,1011,11
1600 - 1700,1171,9
1700 - 1800,683,7
1800 - 1900,1772,17
1900 - 2000,1354,20
2000 - 2100,1006,11
2100 - 2200,996,17
2200 - 2300,1081,18
0500 - 0600,1431,18
0600 - 0700,1013,19
0700 - 0800,2200,33
0800 - 0900,1265,42
0900 - 1000,1019,36
1000 - 1100,1140,24
1100 - 1200,1698,29
1200 - 1300,1086,15
1300 - 1400,1932,31
1400 - 1500,1273,15
1500 - 1600,958,12
1600 - 1700,1066,9
1700 - 1800,841,11
1800 - 1900,2130,22
1900 - 2000,940,21
2000 - 2100,1361,15
2100 - 2200,862,16
2200 - 2300,980,13
0500 - 0600,1525,30
0600 - 0700,1398,32
0700 - 0800,1027,32
0800 - 0900,1241,41
0900 - 1000,1039,33
1000 - 1100,2008,38
1100 - 1200,1508,31
1200 - 1300,1589,24
1300 - 1400,2439,46
1400 - 1500,1088,22
1500 - 1600,923,15
1600 - 1700,1223,13
1700 - 1800,1235,12
1800 - 1900,2315,21
1900 - 2000,1123,28
2000 - 2100,1136,23
2100 - 2200,990,18
2200 - 2300,1455,17
2300 - 0000,156,15
0500 - 0600,1413,23
0600 - 0700,1351,33
0700 - 0800,1311,40
0800 - 0900,1414,67
0900 - 1000,1119,55
1000 - 1100,877,39
1100 - 1200,2018,33
1200 - 1300,1990,44
1300 - 1400,1695,61
1400 - 1500,953,39
1500 - 1600,1378,28
1600 - 1700,452,16
1700 - 1800,392,9
1800 - 1900,1744,15
1900 - 2000,751,29
2000 - 2100,1336,13
2100 - 2200,865,16
2200 - 2300,1162,13
2300 - 0000,497,18
0500 - 0600,1317,26
0600 - 0700,1245,40
0700 - 0800,1250,54
0800 - 0900,1352,63
0900 - 1000,732,37
1000 - 1100,620,21
1100 - 1200,1329,14
1200 - 1300,1966,19
1300 - 1400,1208,19
1400 - 1500,923,17
1500 - 1600,656,12
1600 - 1700,603,11
1700 - 1800,231,10
1800 - 1900,2316,21
1900 - 2000,566,18
2000 - 2100,657,14
2100 - 2200,774,21
2200 - 2300,545,22
2300 - 0000,344,19
0400 - 0500,267,27
0500 - 0600,763,18
0600 - 0700,1312,18
0700 - 0800,1808,32
0800 - 0900,1162,47
0900 - 1000,836,31
1000 - 1100,822,11
1100 - 1200,1265,17
1200 - 1300,2230,21
1300 - 1400,652,28
1400 - 1500,976,14
1500 - 1600,815,11
1600 - 1700,989,12
1700 - 1800,429,11
1800 - 1900,860,10
1900 - 2000,1839,21
2000 - 2100,434,13
2100 - 2200,447,13
2200 - 2300,534,14
2300 - 0000,766,14
0500 - 0600,881,24
0600 - 0700,1658,21
0700 - 0800,500,17
0800 - 0900,1652,34
0900 - 1000,746,15
1000 - 1100,937,14
1100 - 1200,1679,13
1200 - 1300,1026,20
1300 - 1400,1989,22
1400 - 1500,1412,17
1500 - 1600,1295,17
1600 - 1700,459,8
1700 - 1800,801,10
1800 - 1900,417,4
1900 - 2000,2291,27
2000 - 2100,743,18
2100 - 2200,383,15
2200 - 2300,541,15
2300 - 0000,361,16
0500 - 0600,1233,30
0600 - 0700,1740,37
0700 - 0800,894,39
0800 - 0900,1787,65
0900 - 1000,562,47
1000 - 1100,1078,28
1100 - 1200,1501,29
1200 - 1300,1738,22
1300 - 1400,1942,20
1400 - 1500,569,14
1500 - 1600,1836,15
1600 - 1700,594,12
1700 - 1800,661,14
1800 - 1900,1627,29
1900 - 2000,1645,48
2000 - 2100,1017,26
2100 - 2200,706,18
2200 - 2300,732,19
2300 - 0000,446,14
0000 - 0100,178,15
0500 - 0600,892,18
0600 - 0700,1894,43
0700 - 0800,1454,34
0800 - 0900,1625,35
0900 - 1000,874,12
1000 - 1100,1585,24
1100 - 1200,881,20
1200 - 1300,2287,25
1300 - 1400,2134,39
1400 - 1500,956,28
1500 - 1600,525,8
1600 - 1700,1544,11
1700 - 1800,582,16
1800 - 1900,2069,20
1900 - 2000,1848,32
2000 - 2100,668,21
2100 - 2200,1168,21
2200 - 2300,708,16
2300 - 0000,437,14
0500 - 0600,1202,17
0600 - 0700,1112,13
0700 - 0800,1554,20
0800 - 0900,2256,33
0900 - 1000,809,32
1000 - 1100,1402,28
1100 - 1200,1290,18
1200 - 1300,2105,15
1300 - 1400,1783,19
1400 - 1500,1640,20
1500 - 1600,789,12
1600 - 1700,1163,12
1700 - 1800,961,14
1800 - 1900,2556,18
1900 - 2000,1715,34
2000 - 2100,980,20
2100 - 2200,1703,23
2200 - 2300,719,13
2300 - 0000,662,16
0500 - 0600,1623,24
0600 - 0700,1979,32
0700 - 0800,779,32
0800 - 0900,1734,39
0900 - 1000,1041,36
1000 - 1100,1569,28
1100 - 1200,2264,37
1200 - 1300,1439,39
1300 - 1400,2353,39
1400 - 1500,603,36
1500 - 1600,2275,22
1600 - 1700,640,10
1700 - 1800,504,13
1800 - 1900,1846,20
1900 - 2000,1550,18
2000 - 2100,1280,15
2100 - 2200,878,15
2200 - 2300,1520,24
2300 - 0000,686,24
0500 - 0600,1240,18
0600 - 0700,1628,28
0700 - 0800,819,22
0800 - 0900,1959,53
0900 - 1000,762,55
1000 - 1100,1064,40
1100 - 1200,1407,39
1200 - 1300,2491,45
1300 - 1400,1318,48
1400 - 1500,1103,34
1500 - 1600,836,10
1600 - 1700,175,10
1700 - 1800,1283,11
1800 - 1900,1983,23
1900 - 2000,1220,24
2000 - 2100,582,15
2100 - 2200,985,16
2200 - 2300,1030,13
0500 - 0600,994,21
0600 - 0700,2159,24
0700 - 0800,1589,22
0800 - 0900,1234,40
0900 - 1000,912,47
1000 - 1100,1481,33
1100 - 1200,1220,22
1200 - 1300,1307,22
1300 - 1400,2646,27
1400 - 1500,844,12
1500 - 1600,782,10
1600 - 1700,685,15
1700 - 1800,771,11
1800 - 1900,2255,19
1900 - 2000,703,18
2000 - 2100,846,14
2100 - 2200,1018,17
2200 - 2300,546,18
2300 - 0000,366,14
0500 - 0600,1023,13
0600 - 0700,1219,20
0700 - 0800,1517,37
0800 - 0900,1427,48
0900 - 1000,1069,37
1000 - 1100,1318,25
1100 - 1200,2201,24
1200 - 1300,1146,23
1300 - 1400,2205,29
1400 - 1500,1584,24
1500 - 1600,1084,17
1600 - 1700,145,9
1700 - 1800,1458,15
1800 - 1900,2023,24
1900 - 2000,1120,31
2000 - 2100,1185,26
2100 - 2200,1058,19
2200 - 2300,372,13
2300 - 0000,535,17
0500 - 0600,1589,31
0600 - 0700,2020,56
0700 - 0800,1843,46
0800 - 0900,1175,50
0900 - 1000,1300,42
1000 - 1100,1256,28
1100 - 1200,2383,39
1200 - 1300,1513,43
1300 - 1400,2242,48
1400 - 1500,858,27
1500 - 1600,1352,16
1600 - 1700,848,11
1700 - 1800,937,30
1800 - 1900,2946,36
1900 - 2000,1045,55
2000 - 2100,940,33
2100 - 2200,1174,15
2200 - 2300,1019,21
2300 - 0000,639,21
0500 - 0600,231,9
0600 - 0700,2837,21
0700 - 0800,1450,31
0800 - 0900,1555,41
0900 - 1000,1466,48
1000 - 1100,1268,28
1100 - 1200,997,19
1200 - 1300,1455,11
1300 - 1400,3266,33
1400 - 1500,1076,29
1500 - 1600,1354,14
1600 - 1700,1059,11
1700 - 1800,1044,15
1800 - 1900,2322,20
1900 - 2000,1111,23
2000 - 2100,957,17
2100 - 2200,692,16
2200 - 2300,1420,16
2300 - 0000,782,15
0500 - 0600,1338,28
0600 - 0700,2893,34
0700 - 0800,1577,36
0800 - 0900,1944,51
0900 - 1000,1085,40
1000 - 1100,1917,33
1100 - 1200,1221,30
1200 - 1300,1612,17
1300 - 1400,3283,29
1400 - 1500,1634,17
1500 - 1600,664,9
1600 - 1700,1267,8
1700 - 1800,1052,11
1800 - 1900,3513,24
1900 - 2000,890,18
2000 - 2100,1252,13
2100 - 2200,1140,15
2200 - 2300,1358,13
2300 - 0000,328,14
0500 - 0600,1450,30
0600 - 0700,2360,45
0700 - 0800,1771,66
0800 - 0900,1037,76
0900 - 1000,1595,37
1000 - 1100,569,19
1100 - 1200,1706,17
1200 - 1300,2693,26
1300 - 1400,2348,33
1400 - 1500,937,17
1500 - 1600,1243,14
1600 - 1700,1037,10
1700 - 1800,836,19
1800 - 1900,1977,16
1900 - 2000,1048,23
2000 - 2100,1206,15
2100 - 2200,994,13
2200 - 2300,1066,13
2300 - 0000,641,14
0500 - 0600,1667,29
0600 - 0700,1514,41
0700 - 0800,889,42
0800 - 0900,1921,63
0900 - 1000,1212,64
1000 - 1100,467,30
1100 - 1200,2130,34
1200 - 1300,1362,49
1300 - 1400,1952,42
1400 - 1500,1423,39
1500 - 1600,1079,28
1600 - 1700,756,13
1700 - 1800,1091,15
1800 - 1900,1957,18
1900 - 2000,1788,22
2000 - 2100,303,16
2100 - 2200,1248,14
2200 - 2300,1046,15
0500 - 0600,1513,31
0600 - 0700,1870,46
0700 - 0800,785,65
0800 - 0900,1663,87
0900 - 1000,1335,73
1000 - 1100,1431,42
1100 - 1200,1208,48
1200 - 1300,3074,58
1300 - 1400,863,54
1400 - 1500,940,40
1500 - 1600,1248,24
1600 - 1700,1222,18
1700 - 1800,704,19
1800 - 1900,1793,14
1900 - 2000,1596,17
2000 - 2100,515,11
2100 - 2200,836,16
2200 - 2300,917,18
2300 - 0000,325,18
0500 - 0600,1393,31
0600 - 0700,1932,30
0700 - 0800,1151,43
0800 - 0900,1378,36
0900 - 1000,1216,33
1000 - 1100,1776,33
1100 - 1200,1046,31
1200 - 1300,2153,19
1300 - 1400,1649,30
1400 - 1500,1302,25
1500 - 1600,1615,11
1600 - 1700,774,16
1700 - 1800,1171,15
1800 - 1900,1725,20
1900 - 2000,1674,29
2000 - 2100,405,21
2100 - 2200,602,20
2200 - 2300,1114,20
2300 - 0000,244,12
0500 - 0600,1546,32
0600 - 0700,2379,52
